"Id","SalePrice"
1461,93824.1104561103
1462,175004.526836254
1463,172335.590804175
1464,198107.885632052
1465,189417.193667031
1466,162070.646472539
1467,186375.314558629
1468,148289.255848778
1469,209540.269856513
1470,110682.118860264
1471,193712.386959709
1472,109770.957717746
1473,100677.906230702
1474,159672.330081031
1475,120843.789110534
1476,353686.276617925
1477,251280.472227009
1478,301234.038033446
1479,287693.497977511
1480,449486.021491644
1481,305203.28058685
1482,201360.696907476
1483,169823.074405013
1484,166028.899466073
1485,182479.991169931
1486,193221.113302394
1487,275727.842513623
1488,228411.779429339
1489,201954.876230681
1490,220346.831617035
1491,197881.289072742
1492,76881.8838740197
1493,193067.697482709
1494,274899.421485176
1495,284770.829600754
1496,225026.18372603
1497,184621.645963639
1498,170517.083121309
1499,163378.479427664
1500,159101.450434037
1501,213365.841658312
1502,154968.359901156
1503,264621.062070855
1504,231657.186039808
1505,218007.400462814
1506,197091.539276739
1507,259722.944610342
1508,199162.122776406
1509,165430.692060212
1510,146133.778730908
1511,150429.12702776
1512,199564.328775143
1513,145419.268190436
1514,184679.242795865
1515,221682.429860636
1516,160433.902051267
1517,199524.118212606
1518,134065.383232163
1519,235619.241839165
1520,132163.300107983
1521,143720.876448684
1522,209709.973465115
1523,97307.3940031183
1524,122898.058995621
1525,119476.374886428
1526,107964.38195087
1527,103211.034879242
1528,135713.743209512
1529,146209.49111635
1530,211294.676860793
1531,123178.782705037
1532,74355.8521580678
1533,137318.075597259
1534,129601.950224975
1535,152473.136875374
1536,88854.7941652327
1537,29153.0400008479
1538,165499.486394608
1539,233001.425080851
1540,147529.485392581
1541,146598.757731614
1542,141596.035398789
1543,206420.328026889
1544,54103.5704198871
1545,104822.447769259
1546,135342.304307008
1547,109874.061265091
1548,130383.370264091
1549,110349.889048384
1550,130337.577103196
1551,107454.690537827
1552,142971.716971886
1553,159691.351071139
1554,132035.822960953
1555,162063.805511577
1556,NA
1557,129019.952664258
1558,113738.826578206
1559,80308.6311124256
1560,143307.400660921
1561,118392.557444196
1562,127787.967513757
1563,122604.38753234
1564,174596.416105881
1565,153484.734003254
